NQUEST,AREA5,YL,YT,YM,YC,CD,CN,S,AR,AF,PF,BD,ANASC,ETA,Q
22277,2,13000.0,0.0,13000.0,4244.511699,13000,25200.0,-7955.488301,35000.0,23000.0,0,33000,1958,46,2
22277,2,13000.0,0.0,13000.0,4244.511699,13000,25200.0,-7955.488301,35000.0,23000.0,0,33000,1989,15,3
22278,2,30800.0,0.0,0.0,5598.155492,6000,23400.0,6998.155492,121000.0,20540.78228,1500,26000,1953,51,1
22278,2,30800.0,0.0,0.0,5598.155492,6000,23400.0,6998.155492,121000.0,20540.78228,1500,26000,1951,53,1
22278,2,30800.0,0.0,0.0,5598.155492,6000,23400.0,6998.155492,121000.0,20540.78228,1500,26000,1985,19,3
22279,2,0.0,0.0,15000.0,3179.796699,2000,17400.0,-1220.203301,123000.0,8000.0,0,20000,1954,50,2
22279,2,0.0,0.0,15000.0,3179.796699,2000,17400.0,-1220.203301,123000.0,8000.0,0,20000,1982,22,3
22279,2,0.0,0.0,15000.0,3179.796699,2000,17400.0,-1220.203301,123000.0,8000.0,0,20000,1986,18,3
22286,2,10000.0,9100.0,0.0,13109.2267,1500,21600.0,9109.226699,310000.0,38000.0,0,42000,1950,54,3
22286,2,10000.0,9100.0,0.0,13109.2267,1500,21600.0,9109.226699,310000.0,38000.0,0,42000,1956,48,1
22292,2,0.0,20430.0,0.0,11315.00823,1200,12600.0,17945.00823,260000.0,55000.0,0,27000,1935,69,3
22292,2,0.0,20430.0,0.0,11315.00823,1200,12600.0,17945.00823,260000.0,55000.0,0,27000,1929,75,3
22353,2,0.0,19110.0,0.0,12087.12095,1200,26400.0,3597.120947,280000.0,10500.0,1200,15000,1949,55,3
22353,2,0.0,19110.0,0.0,12087.12095,1200,26400.0,3597.120947,280000.0,10500.0,1200,15000,1947,57,3
22353,2,0.0,19110.0,0.0,12087.12095,1200,26400.0,3597.120947,280000.0,10500.0,1200,15000,1987,17,3
22509,4,16900.0,28509.0,0.0,7200.0,0,20400.0,32209.0,304000.0,0.0,0,7000,1931,73,3
22509,4,16900.0,28509.0,0.0,7200.0,0,20400.0,32209.0,304000.0,0.0,0,7000,1937,67,3
22509,4,16900.0,28509.0,0.0,7200.0,0,20400.0,32209.0,304000.0,0.0,0,7000,1963,41,3
22509,4,16900.0,28509.0,0.0,7200.0,0,20400.0,32209.0,304000.0,0.0,0,7000,1969,35,3
22509,4,16900.0,28509.0,0.0,7200.0,0,20400.0,32209.0,304000.0,0.0,0,7000,1974,30,1
22516,1,28577.1726,11050.0,0.0,7235.62809,1000,42277.1726,3585.62809,102500.0,67296.10676,11000,13000,1955,49,1
22516,1,28577.1726,11050.0,0.0,7235.62809,1000,42277.1726,3585.62809,102500.0,67296.10676,11000,13000,1948,56,3
22516,1,28577.1726,11050.0,0.0,7235.62809,1000,42277.1726,3585.62809,102500.0,67296.10676,11000,13000,1976,28,1
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1961,43,3
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1957,47,1
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1981,23,3
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1984,20,3
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1995,9,3
22624,4,14000.0,-300.0,0.0,2200.0,0,14200.0,1700.0,277000.0,0.0,0,4000,1997,7,3
22657,4,32000.0,0.0,0.0,24320.31517,14000,48000.0,-5679.684835,506000.0,14000.0,0,27000,1951,53,1
22657,4,32000.0,0.0,0.0,24320.31517,14000,48000.0,-5679.684835,506000.0,14000.0,0,27000,1974,30,3
